10-90,13-78,15-60,25-75,Droptail
0.6490685,0.6495245,0.654781,0.6520945,0.6533294
0.6494379,0.6523148,0.654781,0.6512372,0.6483322
0.6531303,0.650126,0.6547823,0.6517898,0.6499172
0.6536489,0.6459415,0.6527514,0.650476,0.647964
0.6485932,0.6493071,0.6526324,0.6473032,0.6475304
0.6455992,0.6492908,0.6559515,0.6477111,0.6502388
0.6508438,0.6502177,0.6529828,0.6513531,0.6504315
0.6517059,0.6507696,0.6539554,0.6510744,0.6523994
0.6503361,0.6511908,0.6518624,0.6501186,0.6501112
0.6487204,0.6503506,0.6528334,0.6464982,0.648598
0.650361,0.6546605,0.6526475,0.6521823,0.6514069
0.6509386,0.6473624,0.6506955,0.6512873,0.6496924
0.6512753,0.6525566,0.6538748,0.6478004,0.6489699
0.6480679,0.6512417,0.6530399,0.6489519,0.650421
0.6475011,0.6477777,0.6518502,0.6525668,0.6484753
0.6488024,0.6493143,0.6505133,0.64808,0.6478432
0.6489044,0.6509359,0.6505133,0.6505074,0.6489323
0.6506043,0.6485069,0.6519123,0.6512714,0.6492749
0.6503361,0.6541343,0.6505016,0.6520807,0.6492571
0.6464566,0.6481082,0.6508435,0.6517774,0.649162
0.6494329,0.6493654,0.6493654,0.6521261,0.647262
0.6485121,0.6438368,0.6536687,0.6520815,0.6499468
0.6477949,0.6504588,0.6566579,0.6515456,0.6500664
0.6507336,0.6491837,0.6535156,0.6512797,0.6495836
0.6496861,0.6484249,0.6509908,0.6475724,0.6478768
0.6529287,0.6480936,0.6538077,0.6507191,0.648633
0.6508542,0.6486256,0.6521376,0.6492596,0.6473339
0.6515467,0.6510092,0.651775,0.649277,0.6510145
0.6506254,0.6449909,0.6535199,0.6523412,0.647975
0.6467341,0.6494175,0.6537907,0.6517846,0.6495897
0.6476921,0.6476499,0.6502523,0.6526762,0.6490575
0.6507289,0.6497665,0.6533254,0.6501243,0.6488381
0.6493872,0.65257,0.65639,0.6500183,0.6489897
0.649391,0.6489928,0.6542497,0.6493425,0.6470877
0.6494495,0.6482644,0.6534104,0.6506847,0.6448719
0.6512852,0.6516949,0.6507677,0.6521547,0.6477188
0.6489504,0.6499833,0.6514672,0.6507477,0.6501562
0.6501065,0.6496396 ,0.6547419,0.6489494,0.6495344
0.648205,0.650386,0.6533215,0.6506845,0.6508669
0.6481101,0.6490789,0.6518951,0.6535075,0.651723
0.6472182,0.6498809,0.6495564,0.6499995,0.6502578
0.650874,0.6496445,0.6536812,0.6513333,0.6491922
0.6511311,0.6498074,0.6546521,0.651326,0.6487336
0.6517997,0.6514657,0.6508792,0.6518184,0.6508095
0.6494035,0.6522154,0.6571435,0.6509972,0.6494516
0.6493025,0.6502737,0.6504239,0.6517905,0.6489338
0.6486859,0.6457431,0.6528492,0.6492353,0.6506395
0.6474403,0.650795,0.6519093,0.6540435,0.6494072
0.648311,0.6516165,0.6540492,0.6516925,0.6505557
0.650255,0.6524603,0.6506077,0.6513438,0.6502264
