30-90,21-63,41-82,Droptail
0.6445354,0.6468852,0.6430056,0.6499601
0.6449696,0.6474249,0.6458516,0.6488801
0.6440137,0.6448415,0.6448724,0.6459288
0.6469902,0.6453965,0.6423381,0.6500732
0.6447592,0.645217,0.6452757,0.6489244
0.6457767,0.6473999,0.6435116,0.6480995
0.6466314,0.644421,0.6482486,0.6481695
0.6477161,0.6449725,0.6453134,0.6481909
0.6452612,0.6451318,0.6469679,0.6480484
0.6473123,0.6434588,0.6426937,0.6479
0.6459591,0.6442283,0.6441086,0.6476246
0.6493211,0.6451722,0.6452226,0.6452667
0.6437328,0.6463269,0.6461306,0.6503557
0.644569,0.6454258,0.6442013,0.6512748
0.6463305,0.6465172,0.6464611,0.6467263
0.6459898,0.6440649,0.6458422,0.6448495
0.6473633,0.6460736,0.6459367,0.6474966
0.6459631,0.6449658,0.6445243,0.6477334
0.6451681,0.646019,0.6447127,0.6483784
0.6468487,0.6491009,0.6476497,0.6450116
0.645362,0.6477653,0.6441744,0.645514
0.6461554,0.6457648,0.6457221,0.646306
0.6460328,0.6459775,0.643978,0.6486797
0.6465452,0.6473445,0.6429061,0.6485944
0.645451,0.6445527,0.6444906,0.649695
0.647949,0.6450934,0.6451708,0.649834
0.6456182,0.6459979,0.644243,0.6460671
0.6460692,0.6447062,0.6435639,0.6478732
0.6463444,0.6467916,0.6460226,0.6469344
0.6454968,0.6472423,0.6458452,0.6459682
0.6446823,0.6475681,0.6470798,0.6472846
0.6474568,0.6444301,0.6444922,0.6468686
0.6482655,0.6462304,0.6440997,0.6444191
0.6486242,0.6459601,0.64539,0.6487665
0.6474516,0.6477907,0.6459196,0.6486007
0.6450108,0.6457817,0.6439453,0.6465656
0.643984,0.6487877,0.6450819,0.6484031
0.6446458,0.6467199,0.6453168,0.6468301
0.6447638,0.6444382,0.6449166,0.6485113
0.645069,0.6454009,0.6471203,0.6464692
0.6461779,0.6465489,0.6432917,0.6439164
0.6462592,0.6466073,0.6441597,0.646456
0.6480399,0.6445692,0.6446858,0.6493567
0.6452886,0.6465882,0.6435012,0.649522
0.6454816,0.6472042,0.645714,0.6501396
0.6462697,0.6452691,0.643972,0.6506121
0.6459997,0.6442317,0.6411914,0.6464506
0.6458275,0.6469721,0.645916,0.6476367
0.644678,0.6442294,0.6459138,0.6452336
0.6437948,0.6464787,0.6490899,0.6456036
