11-88,21-63,45-90,Droptail
0.88874,0.892309,0.887224,0.888583
0.888204,0.890388,0.890858,0.889668
0.889865,0.89444,0.886727,0.889172
0.891015,0.891067,0.889577,0.890688
0.886152,0.890897,0.889747,0.890662
0.887969,0.892087,0.889956,0.890335
0.888047,0.892571,0.888191,0.889381
0.889015,0.891486,0.892636,0.890074
0.887511,0.891002,0.892623,0.88959
0.885564,0.890178,0.888976,0.890727
0.888413,0.891146,0.887877,0.890544
0.886714,0.89278,0.889682,0.889655
0.886936,0.893604,0.891015,0.890204
0.890296,0.890505,0.892322,0.89142
0.887341,0.889577,0.888505,0.889316
0.885041,0.891041,0.890414,0.88908
0.889995,0.892989,0.889381,0.889042
0.889198,0.8921,0.888087,0.889629
0.886622,0.89312,0.887106,0.889302
0.887276,0.890544,0.88891,0.888897
0.888335,0.891943,0.890074,0.889119
0.887825,0.89376,0.887145,0.888858
0.887198,0.891159,0.888819,0.889198
0.886113,0.890937,0.887211,0.891826
0.88993,0.892362,0.891159,0.889054
0.886766,0.893368,0.891067,0.8884
0.885812,0.893198,0.890924,0.889668
0.885263,0.891263,0.889616,0.888609
0.887498,0.890335,0.891185,0.891499
0.887786,0.891237,0.888126,0.890348
0.889041,0.892662,0.89027,0.889525
0.888165,0.890518,0.890518,0.888649
0.889538,0.893917,0.890283,0.888832
0.887694,0.886975,0.889119,0.891525
0.884949,0.892793,0.889629,0.890283
0.889459,0.891551,0.890087,0.889067
0.889132,0.890858,0.8901,0.89146
0.88908,0.889342,0.88857,0.889695
0.889159,0.891407,0.888464,0.890505
0.888806,0.889825,0.890571,0.889146
0.888753,0.890021,0.891812,0.889041
0.887394,0.891943,0.889747,0.888806
0.88861,0.885943,0.890754,0.890505
0.887917,0.891982,0.888244,0.889734
0.88572,0.891643,0.890401,0.891865
0.888113,0.891433,0.890231,0.889695
0.888361,0.88623,0.889172,0.889054
0.887773,0.892767,0.890388,0.888727
0.885629,0.891721,0.889629,0.88891
0.887642,0.892205,0.888309,0.890283
