10-90,13-78,15-60,25-75,Droptail
0.76295,0.780612,0.847795,0.784495,0.777488
0.755708,0.771801,0.843756,0.791777,0.777265
0.759146,0.775919,0.838252,0.786377,0.777161
0.762741,0.770768,0.849756,0.789972,0.776978
0.75138,0.791607,0.856528,0.793293,0.766114
0.748766,0.766454,0.848488,0.782678,0.768689
0.749393,0.767186,0.852907,0.789319,0.773657
0.760885,0.777056,0.840736,0.783815,0.770415
0.753381,0.785449,0.833794,0.785358,0.765212
0.752008,0.772755,0.841036,0.789214,0.774808
0.751524,0.789136,0.836748,0.793541,0.76733
0.767199,0.790234,0.847207,0.792731,0.769016
0.761068,0.769369,0.844475,0.782821,0.769016
0.753224,0.762989,0.836944,0.804444,0.771435
0.755551,0.764519,0.84552,0.786247,0.77116
0.765944,0.785959,0.843703,0.783004,0.768389
0.755904,0.764388,0.834369,0.787397,0.762467
0.749433,0.773435,0.839062,0.792378,0.769265
0.75776,0.789999,0.846239,0.790469,0.774821
0.769774,0.766441,0.831885,0.788391,0.770925
0.75257,0.766219,0.844305,0.793228,0.776664
0.76346,0.772415,0.836657,0.807268,0.772507
0.765905,0.776546,0.848462,0.785227,0.769238
0.754662,0.771827,0.842749,0.788992,0.774376
0.756649,0.765421,0.853116,0.788927,0.767565
0.769604,0.773317,0.833088,0.790365,0.774585
0.767173,0.771644,0.835833,0.783632,0.76733
0.767657,0.76648,0.833728,0.791541,0.767748
0.767787,0.77035,0.8422,0.789868,0.776664
0.751367,0.77971,0.836644,0.787397,0.772167
0.755917,0.766545,0.847625,0.788979,0.765591
0.75759,0.775383,0.848723,0.786796,0.768075
0.763133,0.774991,0.842043,0.782652,0.774036
0.755695,0.771095,0.836487,0.787541,0.768062
0.762989,0.772075,0.836487,0.791528,0.777605
0.758545,0.78354,0.848213,0.795829,0.774834
0.755551,0.78962,0.838762,0.786783,0.772101
0.752962,0.769748,0.837441,0.786756,0.773644
0.752178,0.784822,0.849194,0.782037,0.775161
0.752152,0.788142,0.847298,0.791842,0.77133
0.756035,0.778246,0.835755,0.784926,0.772167
0.768729,0.789541,0.836827,0.789162,0.775971
0.750492,0.774951,0.848318,0.789881,0.766872
0.753943,0.766219,0.84471,0.792927,0.766715
0.757041,0.786443,0.838932,0.791358,0.777814
0.767212,0.776115,0.850031,0.787253,0.768742
0.756584,0.770493,0.835755,0.791528,0.768467
0.756884,0.775984,0.83199,0.790025,0.768153
0.754688,0.779919,0.842984,0.782756,0.767186
0.765852,0.780952,0.847298,0.788953,0.77584
