11-88,21-63,45-90,Droptail
1.19,1.84,1.11,1.42
1.18,1.66,1.14,1.39
1.19,1.71,1.13,1.38
1.19,1.84,1.18,1.36
1.17,1.57,1.14,1.39
1.17,1.72,1.14,1.39
1.19,1.66,1.11,1.39
1.18,1.92,1.13,1.34
1.16,1.47,1.19,1.35
1.16,1.92,1.14,1.40
1.20,1.45,1.11,1.36
1.17,1.66,1.15,1.38
1.16,1.71,1.13,1.42
1.20,1.45,1.15,1.39
1.18,1.48,1.13,1.41
1.17,1.60,1.14,1.38
1.18,1.72,1.13,1.39
1.19,1.57,1.14,1.38
1.17,1.73,1.11,1.39
1.19,1.51,1.15,1.39
1.20,1.92,1.18,1.35
1.18,1.52,1.11,1.42
1.17,1.73,1.14,1.37
1.17,1.57,1.12,1.38
1.20,1.66,1.20,1.41
1.18,1.73,1.13,1.35
1.17,1.52,1.14,1.38
1.16,1.34,1.12,1.35
1.19,1.75,1.14,1.39
1.19,1.71,1.13,1.38
1.19,1.52,1.14,1.38
1.18,1.51,1.15,1.37
1.19,1.52,1.14,1.38
1.19,1.29,1.13,1.38
1.17,1.92,1.12,1.39
1.19,1.60,1.14,1.41
1.19,1.48,1.13,1.38
1.19,1.47,1.14,1.37
1.19,1.66,1.18,1.37
1.18,1.45,1.16,1.38
1.19,1.60,1.13,1.36
1.17,1.45,1.18,1.41
1.18,1.32,1.15,1.38
1.20,1.52,1.12,1.38
1.18,1.64,1.17,1.38
1.17,1.71,1.14,1.38
1.19,1.29,1.13,1;38
1.19,1.71,1.15,1.42
1.18,1.92,1.15,1.38
1.19,1.57,1.15,1.35
