10-90,13-78,15-60,25-75,Droptail
10.88,11.93,14.18,12.45,11.81
10.85,11.91,14.31,12.45,11.76
10.95,11.98,14.30,12.39,11.80
10.95,11.82,14.38,12.56,11.83
10.65,12.12,14.59,12.60,11.58
10.57,11.77,14.41,12.34,11.52
10.72,11.86,14.40,12.47,11.68
10.94,12.15,14.27,12.25,11.73
10.76,12.02,14.14,12.35,11.41
10.70,11.92,14.32,12.45,11.68
10.71,12.23,14.33,12.44,11.54
10.95,12.13,14.23,12.39,11.61
10.94,11.95,14.36,12.34,11.59
10.76,11.74,14.15,12.79,11.85
10.77,11.84,14.33,12.40,11.69
10.90,12.22,14.23,12.43,11.52
10.83,11.79,14.12,12.47,11.52
10.52,11.86,14.31,12.51,11.61
10.96,12.23,14.16,12.59,11.77
11.03,11.95,14.19,12.46,11.71
10.71,11.91,14.28,12.54,11.87
10.86,11.96,14.13,12.73,11.67
10.88,12.00,14.30,12.34,11.78
10.66,12.02,14.23,12.46,11.73
10.83,11.78,14.40,12.48,11.59
10.86,11.98,14.12,12.35,11.72
10.94,12.00,14.20,12.45,11.65
11.11,11.80,14.16,12.54,11.58
11.17,11.93,14.18,12.37,11.83
10.69,12.07,14.13,12.43,11.67
10.83,11.80,14.31,12.41,11.41
10.89,12.17,14.32,12.41,11.64
10.88,11.99,14.28,12.35,11.75
10.80,11.97,14.38,12.36,11.60
10.96,11.96,14.12,12.47,11.81
10.90,12.13,14.36,12.54,11.66
10.88,12.24,14.20,12.51,11.63
10.72,11.83,14.13,12.48,11.84
10.78,12.27,14.43,12.32,11.69
10.75,12.13,14.35,12.48,11.73
10.74,11.96,14.16,12.37,11.68
11.01,12.35,14.37,12.33,11.67
10.54,11.76,14.31,12.47,11.62
10.66,11.85,14.23,12.54,11.66
10.82,12.23,14.16,12.47,11.82
10.96,12.00,14.32,12.48,11.62
10.92,11.77,14.11,12.33,11.70
10.83,11.99,14.19,12.40,11.54
10.68,12.04,14.38,12.31,11.57
10.89,12.04,14.36,12.41,11.72
