30-90,21-63,41-82,Droptail
20.08,23.43,21.69,16.37
20.80,23.52,21.67,16.55
20.77,23.44,21.58,17.59
20.42,23.42,21.59,17.23
19.89,23.55,21.72,16.19
20.08,23.66,21.64,17.10
20.57,23.47,21.48,15.69
20.91,23.39,21.53,15.70
20.65,23.38,21.78,16.89
19.52,23.52,21.74,16.71
20.76,23.32,21.42,17.91
20.03,23.57,21.67,16.25
19.25,23.61,21.76,16.77
19.53,23.66,21.61,16.24
20.64,23.60,21.57,16.39
20.12,23.63,21.63,16.08
20.43,23.63,21.66,16.59
19.81,23.31,21.68,16.23
20.86,23.42,21.58,15.97
20.16,23.36,21.36,16.74
20.38,23.61,21.75,16.46
19.74,23.42,21.50,16.87
20.29,23.59,21.53,16.08
20.26,23.47,21.56,16.72
19.83,23.33,21.50,15.84
20.33,23.41,21.69,16.16
19.82,23.40,21.45,16.89
19.91,23.73,21.86,17.22
19.89,23.50,21.44,15.71
20.81,23.60,21.56,16.23
20.69,23.82,21.67,16.00
20.93,23.38,21.34,16.57
20.89,23.27,21.64,17.52
20.04,23.66,21.67,16.64
20.03,23.57,21.74,16.14
20.61,23.27,21.45,16.92
20.39,23.21,21.42,16.00
20.83,23.44,21.86,16.80
20.73,23.63,21.68,16.15
20.32,23.64,21.75,16.73
20.17,23.58,21.30,16.65
20.08,23.60,21.32,16.88
20.90,23.36,21.72,16.42
19.52,23.63,21.54,15.67
20.74,23.37,21.59,17.15
19.67,23.55,21.63,15.68
20.35,23.61,21.56,16.66
20.94,23.48,21.64,16.16
20.78,23.49,21.33,15.53
19.74,23.32,21.45,16.71
